,item,type,tax_year,< $0,$1 - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
128,total tax payable,#,2004,770.0,479800.0,1191780.0,1700200.0,1641960.0,1550620.0,1481960.0,1322330.0,1133640.0,945130.0,1435640.0,1031560.0,707170.0,426600.0,276940.0,519730.0,202690.0,124140.0
129,number of taxable returns,#,2005,1250.0,354080.0,1075140.0,1601250.0,1624890.0,1570830.0,1482240.0,1331290.0,1155110.0,977330.0,1500260.0,1078100.0,763100.0,491100.0,315990.0,599190.0,233070.0,143710.0
130,number of non-taxable returns,#,2005,947870.0,3898190.0,1690160.0,747830.0,154690.0,61860.0,30680.0,19620.0,10210.0,6110.0,6330.0,3540.0,2000.0,1560.0,690.0,1160.0,900.0,230.0
131,total number of returns,#,2005,949120.0,4252270.0,2765300.0,2349080.0,1779580.0,1632690.0,1512910.0,1350910.0,1165320.0,983440.0,1506590.0,1081630.0,765100.0,492650.0,316680.0,600350.0,233960.0,143950.0
132,employment income,#,2005,13830.0,2256910.0,1261590.0,1214310.0,1162370.0,1159350.0,1142620.0,1047250.0,929090.0,805930.0,1265780.0,930700.0,672260.0,434430.0,277230.0,509310.0,178950.0,105850.0
133,commissions (from employment),#,2005,270.0,51170.0,32420.0,32350.0,31710.0,31020.0,29640.0,25780.0,24140.0,21200.0,36670.0,28440.0,21270.0,16640.0,12830.0,33080.0,17340.0,10080.0
134,other employment income,#,2005,3080.0,211490.0,121630.0,112620.0,125220.0,136350.0,150880.0,146910.0,140280.0,122960.0,209730.0,165610.0,117960.0,84540.0,57740.0,124860.0,50880.0,33270.0
135,Old Age Security Pension,#,2005,3270.0,313430.0,892100.0,853090.0,438440.0,337380.0,254920.0,202740.0,159000.0,122640.0,168500.0,110240.0,64870.0,40100.0,25270.0,54740.0,27170.0,19100.0
136,CPP or QPP benefits,#,2005,6810.0,567680.0,928910.0,956790.0,533710.0,432610.0,344150.0,286910.0,225160.0,179610.0,252100.0,159160.0,96750.0,58840.0,38090.0,76990.0,37640.0,25290.0
137,other pensions or superannuation,#,2005,660.0,70510.0,138360.0,364230.0,338190.0,310010.0,269710.0,240030.0,202000.0,158330.0,230290.0,150530.0,89410.0,53820.0,35370.0,73330.0,30610.0,14640.0
138,EI benefits,#,2005,2020.0,221930.0,310980.0,344060.0,308810.0,282860.0,217760.0,170630.0,118470.0,86840.0,113800.0,62910.0,32650.0,17680.0,8770.0,11660.0,1310.0,470.0
139,taxable amount of dividends,#,2005,8400.0,230050.0,182080.0,229830.0,221360.0,220340.0,222880.0,221790.0,210490.0,182770.0,315050.0,254240.0,197090.0,148630.0,104570.0,246220.0,123490.0,96240.0
140,interest and other investment income,#,2005,19410.0,832160.0,626100.0,717030.0,551240.0,504170.0,457740.0,421440.0,387500.0,328820.0,536120.0,394950.0,292700.0,200660.0,136900.0,297310.0,143500.0,112680.0
141,annuity income,#,2005,620.0,51480.0,123650.0,239160.0,206450.0,187660.0,151580.0,117320.0,101570.0,76250.0,110330.0,72630.0,42570.0,26390.0,16900.0,34210.0,16970.0,11740.0
142,net rental income,#,2005,14980.0,100170.0,75260.0,94430.0,90280.0,84590.0,93610.0,79680.0,68910.0,63330.0,109010.0,81090.0,59980.0,39740.0,28000.0,61070.0,29520.0,22290.0
143,taxable capital gains,#,2005,7790.0,186340.0,127470.0,156630.0,154150.0,142740.0,141800.0,142530.0,126340.0,115120.0,200670.0,163430.0,126170.0,97770.0,70730.0,169090.0,90790.0,76650.0
144,RRSP income,#,2005,5520.0,144490.0,105730.0,122480.0,124250.0,134500.0,151650.0,147850.0,138290.0,117600.0,188400.0,130410.0,92840.0,56560.0,37220.0,62580.0,21020.0,9510.0
145,net business income,#,2005,55470.0,358140.0,225220.0,181720.0,148800.0,127090.0,105020.0,94120.0,74790.0,62800.0,97690.0,70020.0,49920.0,31810.0,22290.0,42750.0,18700.0,13600.0
146,net professional income,#,2005,4220.0,36140.0,24000.0,22560.0,18120.0,17420.0,16660.0,14270.0,14360.0,13610.0,23430.0,19770.0,17400.0,12860.0,10630.0,35460.0,32690.0,27480.0
147,net commission income,#,2005,2990.0,22140.0,15210.0,14170.0,9610.0,7680.0,6420.0,7780.0,6840.0,4560.0,9200.0,7510.0,5190.0,3550.0,2670.0,6960.0,3250.0,1500.0
148,net farming income,#,2005,14000.0,54330.0,44130.0,38480.0,30060.0,25610.0,23620.0,25340.0,18350.0,15320.0,23540.0,16210.0,12730.0,8530.0,5560.0,12050.0,5880.0,4360.0
149,net fishing income,#,2005,570.0,3000.0,4460.0,5210.0,4850.0,3310.0,2910.0,2160.0,2220.0,1640.0,1770.0,1130.0,700.0,510.0,260.0,490.0,140.0,80.0
150,tax-exempt income,#,2005,3150.0,870600.0,1077690.0,788380.0,232570.0,129860.0,91500.0,73280.0,49160.0,40560.0,53690.0,29200.0,16340.0,10430.0,5330.0,7480.0,2230.0,740.0
151,other income,#,2005,14440.0,522330.0,311140.0,300540.0,265930.0,239440.0,236270.0,218110.0,196790.0,172380.0,286990.0,219900.0,164290.0,118830.0,82920.0,187710.0,100300.0,79860.0
152,total income assessed,#,2005,85280.0,4252270.0,2765300.0,2349080.0,1779580.0,1632690.0,1512910.0,1350910.0,1165320.0,983440.0,1506590.0,1081630.0,765100.0,492650.0,316680.0,600350.0,233960.0,143950.0
153,Registered Pension Plan contributions,#,2005,7170.0,68640.0,74540.0,117820.0,173190.0,249590.0,339990.0,363050.0,364830.0,357600.0,608380.0,490780.0,364630.0,220130.0,128330.0,201050.0,51520.0,17660.0
154,RRSP deduction,#,2005,4870.0,74020.0,152700.0,238680.0,327520.0,404380.0,481400.0,503220.0,502330.0,455250.0,767070.0,603760.0,463890.0,319320.0,215560.0,421680.0,165160.0,101630.0
155,"annual union, professional, or like dues",#,2005,7490.0,352580.0,259030.0,278160.0,324400.0,380710.0,429550.0,423370.0,410330.0,389690.0,631650.0,510850.0,364780.0,217860.0,123390.0,183390.0,44110.0,17020.0
156,child care expenses,#,2005,1170.0,96680.0,90760.0,103750.0,114720.0,113140.0,113360.0,94690.0,79910.0,63140.0,93340.0,63280.0,36530.0,20580.0,13120.0,21510.0,7090.0,3180.0
157,carrying charges and interest expenses,#,2005,4810.0,76970.0,105250.0,171720.0,170440.0,165380.0,170940.0,164190.0,155000.0,145600.0,245880.0,200420.0,157080.0,114750.0,82600.0,192190.0,97010.0,80790.0
158,CPP or QPP contributions on self-employment,#,2005,420.0,229580.0,211170.0,169830.0,131190.0,109360.0,91470.0,82610.0,59560.0,43140.0,58310.0,37040.0,28420.0,19240.0,15020.0,40970.0,32590.0,25090.0
159,other employment expenses,#,2005,1040.0,11070.0,17680.0,27530.0,37950.0,47560.0,45970.0,54900.0,55010.0,59980.0,99960.0,78570.0,61240.0,44960.0,32370.0,73070.0,31830.0,16760.0
160,clergy residence deduction,#,2005,0.0,0.0,560.0,1000.0,1220.0,2230.0,2080.0,3210.0,3130.0,2130.0,4480.0,3130.0,1410.0,990.0,410.0,660.0,50.0,30.0
161,other deductions,#,2005,6040.0,112860.0,93350.0,107220.0,95280.0,99860.0,79110.0,69580.0,55680.0,47460.0,78580.0,57950.0,43090.0,33340.0,22550.0,53380.0,32880.0,34680.0
162,total deductions before adjustments,#,2005,28100.0,859320.0,767920.0,889340.0,917780.0,982370.0,1023810.0,984580.0,905330.0,807480.0,1290850.0,967260.0,704270.0,457560.0,295560.0,560260.0,217290.0,133370.0
163,social benefits repayment,#,2005,0.0,2550.0,1300.0,3110.0,1180.0,730.0,430.0,370.0,320.0,1580.0,41710.0,109710.0,75290.0,45770.0,28710.0,57190.0,26460.0,18650.0
164,net income after adjustments,#,2005,0.0,4223740.0,2761520.0,2347790.0,1778540.0,1631910.0,1511980.0,1350170.0,1164990.0,983200.0,1506290.0,1081380.0,764910.0,492530.0,316570.0,600130.0,233840.0,143890.0
165,capital gains deduction,#,2005,160.0,1270.0,1780.0,2370.0,2890.0,2430.0,3560.0,3340.0,2730.0,2930.0,4130.0,5040.0,3070.0,2910.0,2320.0,7060.0,7110.0,7580.0
166,losses from other years,#,2005,750.0,15000.0,24950.0,32870.0,39390.0,34950.0,33820.0,33640.0,28900.0,28070.0,50400.0,43300.0,34220.0,26600.0,20240.0,50470.0,28490.0,25780.0
167,additional deductions,#,2005,3240.0,889400.0,1097550.0,813980.0,264380.0,160030.0,118240.0,97070.0,69770.0,59390.0,93850.0,60370.0,45100.0,31940.0,20680.0,44660.0,21590.0,18230.0
168,total deductions from net income,#,2005,4140.0,903890.0,1122950.0,841530.0,299950.0,193980.0,151760.0,131170.0,99530.0,87910.0,144600.0,105890.0,79360.0,59690.0,41460.0,97660.0,53450.0,46030.0
169,taxable income assessed,#,2005,0.0,3789220.0,2588070.0,2310450.0,1763880.0,1625530.0,1508870.0,1348380.0,1163810.0,982580.0,1505770.0,1081150.0,764710.0,492410.0,316360.0,599820.0,233480.0,143830.0
170,basic personal amount,#,2005,937420.0,4244620.0,2763230.0,2347780.0,1778620.0,1632020.0,1512290.0,1350120.0,1164870.0,983080.0,1506160.0,1081290.0,764780.0,492470.0,316410.0,599510.0,233270.0,143180.0
171,age amount,#,2005,30020.0,359460.0,905750.0,860110.0,444070.0,339260.0,257220.0,205580.0,161080.0,124490.0,125930.0,9090.0,2410.0,1230.0,470.0,880.0,540.0,210.0
172,"spouse, eligible dependant and adoption amount",#,2005,70750.0,336430.0,309310.0,313530.0,270240.0,236150.0,218060.0,185240.0,160330.0,143320.0,217790.0,164290.0,121490.0,86570.0,55220.0,107880.0,41190.0,24030.0
173,CPP or QPP contributions,#,2005,21260.0,1832100.0,1331820.0,1278800.0,1202440.0,1184990.0,1155420.0,1054690.0,934730.0,807800.0,1268300.0,933710.0,678170.0,440650.0,283280.0,527260.0,197440.0,117260.0
174,EI premiums,#,2005,35940.0,1645800.0,1137500.0,1121050.0,1084680.0,1082100.0,1070100.0,973930.0,868750.0,753790.0,1183200.0,872270.0,628000.0,401280.0,250130.0,438210.0,135490.0,65600.0
175,pension income amount,#,2005,1210.0,97710.0,228070.0,517860.0,428120.0,365970.0,309330.0,265000.0,221790.0,173290.0,252590.0,167020.0,100130.0,60090.0,39730.0,83150.0,37390.0,20810.0
176,caregiver amount,#,2005,850.0,6900.0,5760.0,9220.0,14950.0,15490.0,14060.0,14550.0,11070.0,12450.0,13570.0,9450.0,7320.0,4550.0,3680.0,6430.0,2140.0,980.0
177,disability amount,#,2005,6480.0,66230.0,74640.0,75920.0,55130.0,44210.0,35610.0,30360.0,24350.0,20700.0,28330.0,17260.0,12260.0,9180.0,5290.0,10690.0,4120.0,2760.0
178,"tuition, education, and textbook amounts",#,2005,510.0,101150.0,383430.0,274550.0,216080.0,183220.0,146200.0,137330.0,119480.0,99550.0,164380.0,126250.0,104880.0,67570.0,46070.0,86640.0,33500.0,21200.0
179,interest paid on student loans,#,2005,1750.0,17790.0,43170.0,65850.0,71850.0,79660.0,79570.0,65400.0,59120.0,44710.0,67180.0,41550.0,22500.0,10930.0,6060.0,9340.0,2430.0,800.0
180,amounts transferred from spouse or common-law partner,#,2005,12500.0,53440.0,105700.0,141660.0,99470.0,71450.0,56050.0,45730.0,35730.0,28880.0,37180.0,25910.0,15510.0,9850.0,6190.0,12400.0,4850.0,2220.0
181,medical expenses,#,2005,14720.0,185090.0,330300.0,546820.0,451650.0,373680.0,301550.0,233060.0,173110.0,124370.0,166020.0,97650.0,57130.0,35230.0,24280.0,51760.0,26040.0,18360.0
182,total tax credits on personal amounts,#,2005,937820.0,4246330.0,2763880.0,2348160.0,1778830.0,1632240.0,1512460.0,1350300.0,1165010.0,983160.0,1506210.0,1081400.0,764860.0,492600.0,316470.0,599840.0,233520.0,143490.0
183,donations and gifts,#,2005,0.0,55390.0,180720.0,410320.0,440050.0,450870.0,461530.0,448030.0,425110.0,387410.0,651820.0,523530.0,406890.0,279510.0,188410.0,386740.0,163520.0,110200.0
184,eligible cultural and ecological gifts,#,2005,0.0,500.0,230.0,370.0,490.0,760.0,940.0,1460.0,690.0,1650.0,2600.0,2100.0,1440.0,1340.0,1090.0,1620.0,770.0,520.0
185,total tax credit on donations and gifts,#,2005,0.0,53020.0,174750.0,402810.0,432240.0,443720.0,455680.0,442690.0,420090.0,383980.0,647420.0,519710.0,404970.0,278600.0,187810.0,385560.0,163370.0,110120.0
186,total federal non-refundable tax credits,#,2005,937820.0,4246390.0,2763910.0,2348160.0,1778860.0,1632260.0,1512480.0,1350400.0,1165010.0,983160.0,1506210.0,1081400.0,764860.0,492600.0,316490.0,599840.0,233540.0,143540.0
187,basic federal tax,#,2005,260.0,189720.0,1020710.0,1579620.0,1584690.0,1547210.0,1470150.0,1321770.0,1150260.0,975400.0,1497740.0,1077550.0,762560.0,490600.0,315670.0,598550.0,232860.0,143530.0
188,federal dividend tax credit,#,2005,6410.0,201850.0,163390.0,205730.0,198820.0,200800.0,203760.0,203670.0,194460.0,168440.0,287390.0,233920.0,182230.0,137680.0,97700.0,232820.0,118960.0,94060.0
189,CPP contributions on self-employment,#,2005,620.0,178220.0,159090.0,128330.0,102080.0,88980.0,72750.0,68650.0,46840.0,35820.0,47950.0,29430.0,22710.0,15080.0,11940.0,30560.0,22520.0,18390.0
190,net federal tax,#,2005,260.0,180160.0,998830.0,1560560.0,1575740.0,1541980.0,1466790.0,1319580.0,1148000.0,973750.0,1495230.0,1075090.0,760690.0,489320.0,314830.0,596290.0,232080.0,143130.0
191,net provincial or territorial tax,#,2005,750.0,48790.0,292790.0,771810.0,1077770.0,1104620.0,1054890.0,988610.0,860470.0,741270.0,1161650.0,846660.0,626210.0,404880.0,260770.0,496970.0,191550.0,121240.0
192,total tax payable,#,2005,1250.0,354080.0,1075140.0,1601250.0,1624890.0,1570830.0,1482240.0,1331290.0,1155110.0,977330.0,1500260.0,1078100.0,763100.0,491100.0,315990.0,599190.0,233070.0,143710.0
193,number of taxable returns,#,2006,960.0,304140.0,944830.0,1406630.0,1583390.0,1549640.0,1496890.0,1364760.0,1182410.0,999420.0,1553490.0,1143160.0,827440.0,541000.0,347470.0,687910.0,270370.0,167810.0
194,total number of returns,#,2006,802590.0,4230150.0,2633050.0,2381970.0,1793810.0,1624360.0,1533010.0,1385990.0,1194800.0,1005800.0,1561170.0,1146360.0,829140.0,541930.0,348480.0,689530.0,271490.0,168080.0
195,employment income,#,2006,13360.0,2158460.0,1238780.0,1188710.0,1140650.0,1136560.0,1136480.0,1062160.0,945200.0,819590.0,1308500.0,985140.0,731260.0,477280.0,304530.0,585730.0,211480.0,123990.0
196,commissions (from employment),#,2006,220.0,53680.0,33190.0,31370.0,30690.0,28570.0,28620.0,27900.0,23380.0,22430.0,36610.0,29030.0,21580.0,16480.0,14030.0,36580.0,20120.0,11600.0
197,other employment income,#,2006,2440.0,192660.0,113880.0,108190.0,119370.0,137310.0,149350.0,147390.0,135920.0,127770.0,207650.0,172730.0,127380.0,91990.0,63450.0,137970.0,56910.0,37540.0
198,Old Age Security Pension,#,2006,3670.0,272390.0,801180.0,912660.0,464470.0,354390.0,280620.0,222100.0,167460.0,128700.0,184680.0,119870.0,70900.0,45650.0,29800.0,61870.0,31900.0,23130.0
199,CPP or QPP benefits,#,2006,7890.0,547460.0,840630.0,1016380.0,569960.0,453020.0,378230.0,310230.0,240560.0,190180.0,273820.0,177400.0,105110.0,67060.0,43950.0,89800.0,45000.0,30800.0
200,other pensions or superannuation,#,2006,1220.0,65920.0,126200.0,349070.0,350440.0,315300.0,288530.0,252030.0,209120.0,168580.0,241770.0,160060.0,94970.0,57200.0,39870.0,81660.0,34470.0,17570.0
201,Universal Child Care Benefit,#,2006,7160.0,447320.0,166950.0,127170.0,111980.0,99850.0,86260.0,67170.0,55640.0,38690.0,51600.0,31280.0,17280.0,8530.0,4470.0,8180.0,2130.0,800.0
202,EI benefits,#,2006,2630.0,192710.0,271370.0,323210.0,306910.0,284520.0,234810.0,183680.0,132230.0,93150.0,129760.0,72680.0,41890.0,22210.0,11620.0,15370.0,2430.0,750.0
203,taxable amount of dividends,#,2006,7660.0,206910.0,185110.0,231500.0,219630.0,225940.0,219990.0,226280.0,213420.0,197520.0,326340.0,272410.0,217190.0,158790.0,115310.0,280170.0,144000.0,114400.0
204,interest and other investment income,#,2006,21390.0,827620.0,596050.0,742280.0,582790.0,524100.0,495230.0,465860.0,418950.0,367240.0,588610.0,454890.0,343850.0,232850.0,161160.0,355090.0,169880.0,133370.0
205,annuity income,#,2006,690.0,43780.0,107040.0,223160.0,214230.0,189750.0,159020.0,128880.0,101890.0,78710.0,117770.0,75890.0,46080.0,30470.0,19910.0,38380.0,20190.0,13940.0
206,net rental income,#,2006,17170.0,97880.0,73030.0,88500.0,88110.0,88470.0,85390.0,83890.0,74300.0,62710.0,105870.0,83630.0,67040.0,44190.0,30540.0,69550.0,35430.0,27040.0
207,taxable capital gains,#,2006,7430.0,186110.0,137090.0,161320.0,158750.0,153830.0,143430.0,150970.0,144440.0,126930.0,220820.0,185840.0,151210.0,110710.0,81510.0,203150.0,110720.0,94890.0
208,RRSP income,#,2006,5990.0,144070.0,96420.0,111750.0,116800.0,128950.0,146840.0,143780.0,129370.0,118530.0,183570.0,138690.0,93870.0,59880.0,37440.0,67420.0,21460.0,8000.0
209,net business income,#,2006,51780.0,341040.0,220760.0,192590.0,157700.0,127290.0,113430.0,96720.0,84730.0,69420.0,101920.0,76160.0,55310.0,37940.0,24070.0,52420.0,23810.0,16860.0
210,net professional income,#,2006,4610.0,37000.0,19700.0,18640.0,17100.0,14360.0,15100.0,16250.0,12630.0,11640.0,20410.0,19820.0,14290.0,13540.0,9580.0,34800.0,32670.0,28470.0
211,net commission income,#,2006,4120.0,23620.0,14870.0,13060.0,12500.0,9840.0,10230.0,8590.0,6440.0,5270.0,9160.0,6680.0,5110.0,4000.0,3310.0,7390.0,4140.0,1940.0
212,net farming income,#,2006,15890.0,55220.0,39630.0,36970.0,30450.0,26120.0,22350.0,24880.0,17410.0,14650.0,23430.0,19310.0,13350.0,9540.0,7100.0,15180.0,7210.0,5620.0
213,net fishing income,#,2006,430.0,3680.0,4120.0,5100.0,3850.0,3680.0,2040.0,2570.0,1750.0,1260.0,1410.0,1430.0,650.0,530.0,220.0,480.0,140.0,80.0
214,tax-exempt income,#,2006,3000.0,767500.0,969260.0,837440.0,259020.0,133870.0,96910.0,73000.0,54670.0,36920.0,54630.0,31010.0,20900.0,10990.0,6110.0,9290.0,2010.0,930.0
215,other income,#,2006,14270.0,515490.0,322280.0,307050.0,277210.0,264990.0,252770.0,238970.0,219070.0,195500.0,311040.0,255050.0,196370.0,136410.0,100050.0,227830.0,118410.0,92770.0
216,total income assessed,#,2006,83250.0,4230150.0,2633050.0,2381970.0,1793810.0,1624360.0,1533010.0,1385990.0,1194800.0,1005800.0,1561170.0,1146360.0,829140.0,541930.0,348480.0,689530.0,271490.0,168080.0
217,Registered Pension Plan contributions,#,2006,5570.0,63590.0,71370.0,108070.0,163300.0,233760.0,320850.0,348940.0,365910.0,355360.0,607530.0,504150.0,386160.0,248670.0,144350.0,233940.0,61160.0,21030.0
218,RRSP deduction,#,2006,4340.0,65990.0,135070.0,215670.0,307950.0,380220.0,465820.0,503150.0,500350.0,454850.0,779120.0,626780.0,501730.0,346610.0,232160.0,480530.0,189450.0,116640.0
219,"annual union, professional, or like dues",#,2006,4210.0,337070.0,256750.0,271410.0,309540.0,361800.0,414940.0,414760.0,413370.0,385980.0,638530.0,524400.0,395380.0,244220.0,136980.0,213710.0,52520.0,20400.0
220,child care expenses,#,2006,1540.0,96030.0,85080.0,102800.0,112240.0,116760.0,114220.0,97410.0,88660.0,67430.0,100850.0,67320.0,43390.0,24690.0,14850.0,26150.0,8650.0,3650.0
221,carrying charges and interest expenses,#,2006,3820.0,73580.0,94760.0,156240.0,163710.0,169490.0,174470.0,165850.0,159200.0,141340.0,246720.0,209030.0,165430.0,125750.0,89590.0,213310.0,110880.0,93920.0
222,CPP or QPP contributions on self-employment,#,2006,1430.0,220350.0,203820.0,171290.0,140690.0,109510.0,94460.0,85730.0,67450.0,44920.0,59120.0,41480.0,27970.0,20750.0,16390.0,44780.0,34060.0,26830.0
223,other employment expenses,#,2006,780.0,10580.0,16520.0,24860.0,33530.0,47180.0,48750.0,51710.0,55720.0,56390.0,104050.0,83130.0,63920.0,48880.0,36280.0,80020.0,36050.0,19390.0
224,other deductions,#,2006,6000.0,156230.0,153820.0,154460.0,144430.0,124870.0,113000.0,92650.0,79920.0,65830.0,95730.0,74860.0,52350.0,38030.0,29440.0,69350.0,47690.0,46440.0
225,total deductions before adjustments,#,2006,24160.0,825100.0,738070.0,840030.0,900120.0,958450.0,1023170.0,988740.0,923100.0,808940.0,1322390.0,1015490.0,758320.0,500900.0,324530.0,640380.0,251770.0,155130.0
226,social benefits repayment,#,2006,0.0,0.0,0.0,0.0,180.0,130.0,0.0,0.0,0.0,2260.0,53010.0,107700.0,87680.0,56630.0,35130.0,68070.0,31850.0,22940.0
227,net income after adjustments,#,2006,0.0,4205820.0,2630710.0,2380330.0,1792670.0,1623290.0,1532170.0,1385220.0,1194590.0,1005300.0,1560950.0,1146180.0,828950.0,541900.0,348360.0,689200.0,271360.0,168010.0
228,capital gains deduction,#,2006,70.0,1370.0,1340.0,2140.0,2180.0,2520.0,2130.0,3630.0,2130.0,2440.0,4260.0,4330.0,2850.0,2640.0,2670.0,7090.0,6470.0,8110.0
229,losses from other years,#,2006,1090.0,15760.0,18250.0,28670.0,32850.0,33490.0,30780.0,31940.0,31890.0,25490.0,46480.0,42730.0,35490.0,26350.0,20700.0,54450.0,31240.0,27780.0
230,additional deductions,#,2006,3290.0,784680.0,989220.0,864230.0,290630.0,164390.0,124630.0,95380.0,76480.0,57190.0,89210.0,62690.0,46070.0,32370.0,22340.0,50160.0,24310.0,21360.0
231,total deductions from net income,#,2006,4340.0,800580.0,1007650.0,890470.0,321420.0,196420.0,154520.0,128860.0,107960.0,82940.0,136200.0,106980.0,82670.0,59470.0,44050.0,107130.0,58560.0,51520.0
232,taxable income assessed,#,2006,0.0,3830020.0,2480370.0,2348100.0,1780860.0,1617430.0,1528960.0,1384160.0,1192970.0,1004620.0,1560460.0,1145770.0,828790.0,541770.0,348210.0,688980.0,271090.0,167920.0
233,basic personal amount,#,2006,787260.0,4217090.0,2629620.0,2380450.0,1792740.0,1623400.0,1532340.0,1385350.0,1194350.0,1005220.0,1560650.0,1145510.0,828660.0,541600.0,348230.0,688690.0,270660.0,167190.0
234,age amount,#,2006,34200.0,318520.0,814640.0,920660.0,469320.0,357450.0,283460.0,225020.0,169290.0,130660.0,187930.0,78160.0,7580.0,2020.0,1310.0,1330.0,680.0,310.0
235,"spouse, eligible dependant and adoption amount",#,2006,60510.0,343840.0,289640.0,293650.0,253070.0,221580.0,206710.0,186320.0,157700.0,136840.0,211560.0,166840.0,118910.0,86260.0,56780.0,117970.0,46310.0,26440.0
236,CPP or QPP contributions,#,2006,21240.0,1706380.0,1287620.0,1244030.0,1181950.0,1161150.0,1149330.0,1068230.0,952290.0,820550.0,1306290.0,986230.0,735310.0,482470.0,311260.0,605970.0,228590.0,135740.0
237,EI premiums,#,2006,29730.0,1585470.0,1106340.0,1094970.0,1062950.0,1066810.0,1061360.0,991660.0,884170.0,768460.0,1223780.0,917170.0,680340.0,441050.0,277240.0,506160.0,160840.0,77310.0
238,Canada employment amount,#,2006,30360.0,2250310.0,1271960.0,1226950.0,1190350.0,1191610.0,1193750.0,1111340.0,983480.0,852140.0,1350330.0,1010560.0,747670.0,488250.0,311730.0,602940.0,220350.0,131440.0
239,public transit amount,#,2006,7520.0,110360.0,88560.0,84060.0,80380.0,69370.0,69020.0,64430.0,53960.0,44900.0,69850.0,49550.0,36850.0,26140.0,17330.0,31190.0,9000.0,3640.0
240,pension income amount,#,2006,1710.0,85520.0,204020.0,494050.0,448120.0,378620.0,331120.0,282800.0,231300.0,183620.0,268770.0,178760.0,107010.0,65670.0,45240.0,93940.0,42890.0,24860.0
241,caregiver amount,#,2006,380.0,7020.0,4120.0,10080.0,13220.0,14100.0,14660.0,15510.0,13020.0,10260.0,16270.0,11840.0,8650.0,6310.0,3790.0,8240.0,2430.0,1200.0
242,disability amount,#,2006,6000.0,65760.0,74190.0,77170.0,60000.0,48290.0,40300.0,33720.0,28630.0,21550.0,29150.0,20020.0,14310.0,10280.0,5750.0,13530.0,5160.0,3330.0
243,"tuition, education, and textbook amounts",#,2006,260.0,47580.0,393830.0,286020.0,223690.0,180620.0,154320.0,139690.0,121250.0,104160.0,168170.0,129690.0,108650.0,71650.0,47100.0,95190.0,38040.0,23530.0
244,interest paid on student loans,#,2006,1540.0,9360.0,35710.0,55850.0,69310.0,79750.0,72530.0,71140.0,60800.0,48710.0,68580.0,42940.0,27320.0,12450.0,6530.0,10510.0,2760.0,920.0
245,amounts transferred from spouse or common-law partner,#,2006,16730.0,61080.0,110520.0,137680.0,108840.0,79620.0,65390.0,55260.0,42600.0,31090.0,43460.0,29700.0,18540.0,11320.0,7230.0,15540.0,5910.0,2720.0
246,medical expenses,#,2006,16490.0,185910.0,302430.0,523870.0,477720.0,409660.0,342850.0,266750.0,200400.0,146590.0,186810.0,113700.0,68940.0,42000.0,27980.0,62070.0,30070.0,22490.0
247,total tax credits on personal amounts,#,2006,787800.0,4219300.0,2630460.0,2380870.0,1792840.0,1623880.0,1532420.0,1385610.0,1194470.0,1005300.0,1560740.0,1145850.0,828820.0,541620.0,348370.0,689030.0,270990.0,167600.0
248,donations and gifts,#,2006,0.0,47280.0,151090.0,340010.0,410430.0,438910.0,464450.0,449850.0,425560.0,386440.0,645100.0,532940.0,420250.0,295350.0,199000.0,419280.0,183920.0,124970.0
249,total tax credit on donations and gifts,#,2006,0.0,43800.0,145970.0,330680.0,402540.0,432420.0,458880.0,443960.0,419960.0,382470.0,639440.0,529480.0,417440.0,293990.0,198070.0,417980.0,183430.0,124690.0
250,total federal non-refundable tax credits,#,2006,787800.0,4219440.0,2630500.0,2380910.0,1792870.0,1623960.0,1532440.0,1385650.0,1194470.0,1005360.0,1560740.0,1145850.0,828840.0,541620.0,348370.0,689050.0,271010.0,167650.0
251,basic federal tax,#,2006,130.0,137190.0,883570.0,1360230.0,1517940.0,1508560.0,1479120.0,1351380.0,1174330.0,995250.0,1548940.0,1140020.0,826000.0,540310.0,346810.0,686750.0,270270.0,167580.0
252,federal dividend tax credit,#,2006,7130.0,188110.0,175600.0,219200.0,209080.0,213440.0,208270.0,213790.0,203000.0,187790.0,311170.0,260880.0,205720.0,152560.0,110430.0,269880.0,140530.0,112710.0
253,CPP contributions on self-employment,#,2006,740.0,169230.0,149020.0,125040.0,106020.0,89760.0,72830.0,68070.0,54310.0,35810.0,47930.0,34210.0,22480.0,16260.0,12780.0,33970.0,23320.0,19660.0
254,net federal tax,#,2006,130.0,131240.0,864170.0,1343630.0,1508690.0,1503780.0,1475660.0,1348360.0,1172680.0,993680.0,1546030.0,1138500.0,825030.0,539010.0,346070.0,684590.0,269240.0,167160.0
255,net provincial or territorial tax,#,2006,210.0,33670.0,256780.0,704560.0,1064980.0,1089980.0,1069130.0,1010400.0,879030.0,754440.0,1202590.0,898610.0,678950.0,447980.0,284610.0,573520.0,224400.0,142680.0
256,total tax payable,#,2006,960.0,304140.0,944830.0,1406630.0,1583390.0,1549640.0,1496890.0,1364760.0,1182410.0,999420.0,1553490.0,1143160.0,827440.0,541000.0,347470.0,687910.0,270370.0,167810.0
